PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI,Remark
99.69,193.4,100.16,8.62,0.96,10.56,24.73,302,Very Poor
92.66,157.03,71.61,15.19,0.5,10.52,24.22,257,Poor
116.99,146.49,57.32,17.36,0.64,12.33,25.51,212,Poor
120.33,172.92,58.43,17.38,0.44,12.91,26.84,256,Poor
108.43,182.65,60.37,17.46,1.02,26.39,21.83,301,Very Poor
118,159.44,50.62,17.97,0.7,6.49,24.73,274,Poor
107.94,174.01,58.6,16.97,0.82,13.73,24.69,262,Poor
108.34,163.17,63.17,18.79,0.8,26.75,21.59,287,Poor
96.45,173.27,61.22,22.53,0.72,11.71,23.64,262,Poor
90.25,159.1,71.77,17.22,0.91,16,22.52,242,Poor
100.34,141.29,64.26,18.38,0.55,14.8,25.31,204,Poor
62.75,165.55,60.14,20.43,0.85,13.57,24.82,230,Poor
62.74,117.55,49.18,21.17,0.55,13.17,28.15,171,Moderate
34.51,108.94,43.14,20.36,0.87,11.48,20.37,113,Moderate
15.12,63.23,38.2,21.38,0.72,12.19,17.24,96,Satisfactory
27.25,40.61,22.75,22.92,0.38,8.37,19.39,56,Satisfactory
51.67,49.07,27.55,22.29,0.44,11.04,19.68,48,Good
54.24,70.71,55.79,17.58,1.28,15.66,20.15,91,Satisfactory
47.81,87.78,56.1,17.76,0.98,27.99,25.38,96,Satisfactory
84.99,99.22,65.34,17.61,1.02,26.84,36.53,111,Moderate
63.05,137.17,71.78,12.16,1.39,15.58,47.94,143,Moderate
71.09,111.15,68.18,15.31,1.06,13.42,47.46,141,Moderate
76.78,128.56,85.01,14.32,1.15,10.68,40.2,130,Moderate
73.21,129.54,69.13,13.58,1.27,17.71,48.7,149,Moderate
81.64,129.76,61.14,15.38,1.11,16.63,62.74,150,Moderate
81.71,146.56,83.44,14.61,1.58,12.92,43.18,159,Moderate
75.52,142.46,74.7,10.83,1.03,18.7,37.16,178,Moderate
58.02,125.82,25.85,10.97,0.74,12.37,32.23,159,Moderate
65.56,96.18,16.37,17.41,0.76,8.47,38.97,126,Moderate
56.98,128.56,23.26,16.81,0.86,16.7,34.16,115,Moderate
74.5,148.8,16.86,13.91,0.52,10.21,32.14,136,Moderate
66.61,119.5,17.12,16.46,0.66,10.22,39.91,131,Moderate
70.86,121.81,26.18,13.97,0.66,9.84,39.63,137,Moderate
69.96,142.17,28.42,14.9,0.74,10.43,41.96,121,Moderate
60.11,130.91,35.52,16.42,0.84,9.78,37.99,157,Moderate
33.9,101.22,22.82,16.94,0.7,6.98,40.95,116,Moderate
31.75,64.61,15.97,14.52,0.55,7.78,32.91,87,Satisfactory
34.8,58.96,13.31,12.92,0.54,13.52,27.85,58,Satisfactory
32.07,72.77,17.35,10.31,0.59,12.99,24.83,74,Satisfactory
30.32,63.36,17.16,11.98,0.72,10.51,19.85,90,Satisfactory
38.35,66.4,15.26,9.84,0.58,10.5,24.21,61,Satisfactory
36.92,95.79,21.18,9.69,0.72,8.3,27.25,96,Satisfactory
43.16,106.73,25.18,10.43,0.64,14.78,30.4,96,Satisfactory
42.51,149.98,28.73,9.94,0.8,9.67,31.72,126,Moderate
33.88,121.35,24.64,13.1,0.53,14.5,35.13,131,Moderate
22.47,80.8,18.86,14.69,0.51,13.5,30.89,95,Satisfactory
14.78,52.83,12.56,11.9,0.46,11.27,19.85,62,Satisfactory
20.92,39.26,8.15,9.17,0.4,10.43,23.58,64,Satisfactory
27.08,49.94,13.32,9.1,0.56,15.85,25.36,60,Satisfactory
23.72,59.54,9.07,11.97,0.52,11.04,33.63,101,Moderate
22.49,51.79,8.11,10.79,0.44,8.55,27.48,63,Satisfactory
21.59,54.86,12,11.3,0.43,5.49,23.63,57,Satisfactory
34.44,52.32,10.62,11.85,0.41,11.52,19.77,54,Satisfactory
49.2,76.9,13.02,12.13,0.5,14.74,33.17,61,Satisfactory
42.1,116.27,16.7,12.82,0.69,15.37,44.06,120,Moderate
16.39,87.51,13.22,13.14,0.57,11.6,44.93,105,Moderate
12.88,53.9,8.68,11.34,0.62,10.98,31.2,92,Satisfactory
10.66,59.01,9.92,11.03,0.69,12.43,29.66,86,Satisfactory
12.77,47.74,8.02,9.45,0.35,12.07,22.33,56,Satisfactory
27,50.79,8.45,8.86,0.53,14.06,22.67,78,Satisfactory
32.79,90.58,15.67,9.74,0.41,13.33,27.15,74,Satisfactory
39.77,104.04,17.4,11.1,0.4,9.21,31.25,97,Satisfactory
43.78,129.33,24.88,9.4,0.45,8.16,27.19,107,Moderate
40.96,124.06,19.29,9.87,0.64,11.35,29.47,130,Moderate
40.08,101.35,14.19,10.37,0.46,7.42,22.03,110,Moderate
22.52,93.9,14.86,11.63,0.58,7.89,28.04,98,Satisfactory
22.09,69.14,13.59,7.71,0.56,10.99,21.12,101,Moderate
25.39,53.31,9.6,6.44,0.68,9.51,29.78,85,Satisfactory
21.71,49.43,7.75,7.63,0.7,9.14,32.42,85,Satisfactory
23.56,43.12,6.24,7.09,0.5,7.63,36.81,60,Satisfactory
23.68,53.08,12.03,5.6,0.53,10.27,29.46,56,Satisfactory
17.99,64.65,14.63,5.75,0.53,8.61,29.24,67,Satisfactory
17.03,48.09,8.02,6.06,0.47,9.11,29.02,79,Satisfactory
20.58,46.96,10.15,5.53,0.5,13.84,21.8,45,Good
24,51.83,9.93,5.76,0.49,10.38,21.95,53,Satisfactory
27.44,60.54,10.84,7.15,0.54,12.07,32.91,69,Satisfactory
24.11,70.3,12.49,6.62,0.54,12.69,28.07,65,Satisfactory
28.43,65.16,9.81,6.81,0.45,8.19,30.44,78,Satisfactory
33,60.07,9.49,8.36,0.56,17.06,42.66,83,Satisfactory
37.09,72.26,9.26,7.66,0.58,16.56,34.64,64,Satisfactory
30.05,70.85,7.48,7.56,0.69,12.4,38.42,102,Moderate
20.75,62.5,8.62,6.27,0.71,14.7,31.67,92,Satisfactory
13.97,45.07,5.59,6.03,0.48,9.15,25.97,58,Satisfactory
18.72,39.04,7.21,5.55,0.64,10.24,20.32,76,Satisfactory
22.07,50.84,6.06,5.8,0.67,13.03,28.03,78,Satisfactory
19.4,63.47,5.25,6.21,0.62,12.96,40.3,91,Satisfactory
13.49,55.83,7.03,4.36,0.76,10.88,38.75,124,Moderate
20.68,34.05,4.2,4.21,0.57,12.69,22.15,75,Satisfactory
16.52,38.77,4.48,4.22,0.63,10.9,26.79,73,Satisfactory
15.91,36.76,3.14,4.47,0.61,8.92,39.57,101,Moderate
17.24,33.28,2.04,3.7,0.4,13.09,33.05,64,Satisfactory
25.87,43.11,5.32,3.95,0.58,14.02,30.87,80,Satisfactory
15.77,89,9.61,3.98,0.39,11.84,46.66,85,Satisfactory
23.75,50.12,6.04,3.86,0.36,14.45,28.78,80,Satisfactory
25.36,68.9,11.38,3.49,0.64,18.42,19.94,84,Satisfactory
32.7,81.59,20.61,4.81,0.65,22.54,20.53,79,Satisfactory
20.21,91.22,17.13,7.6,0.54,15.71,25.28,91,Satisfactory
11.55,57.8,13.78,6.54,0.51,10.6,26.51,79,Satisfactory
9.39,37.66,13.27,7.05,0.59,12.58,26.46,82,Satisfactory
9.77,36.94,12.29,4.58,0.35,17.07,24.65,45,Good
21.38,35.42,12.59,3.34,0.32,21.81,28.75,41,Good
24.68,75.6,19.85,4.32,0.48,23.3,39.42,78,Satisfactory
17.58,132.02,29.05,3.97,0.58,16.03,23.73,124,Moderate
28.05,59.05,18.08,4.04,0.48,12.66,27.14,73,Satisfactory
27.98,84.5,18.74,6.85,0.48,12.78,25.81,71,Satisfactory
23.32,79.71,18.31,8.01,0.51,8.71,34.54,79,Satisfactory
15.52,70.68,16.88,5.65,0.66,16.4,34.16,78,Satisfactory
12.11,46.14,15.11,4.67,0.42,13.67,23.72,57,Satisfactory
19.03,40.82,15.46,4.07,0.31,12.72,23.43,46,Good
27.18,60.71,19.23,4.84,0.4,13.57,35.2,58,Satisfactory
38.9,93.8,23.54,3.53,0.64,26.8,38.05,83,Satisfactory
57.73,111.93,27.29,3.52,0.98,16.06,56.99,109,Moderate
44.49,211.34,35.92,5.61,0.78,16.59,58.87,148,Moderate
39.76,163.62,22.32,7.12,0.53,16.97,67.99,158,Moderate
47.3,152.97,23.24,6,0.52,15.33,69.15,146,Moderate
39.81,136.76,20.22,7.92,0.64,22.25,68.43,133,Moderate
49.19,138.9,18.58,7.81,0.44,13.03,51.98,122,Moderate
40.38,155.58,26.89,4.26,0.77,25.9,73.55,126,Moderate
44.65,112.93,24.31,5.75,0.7,30.4,74.3,131,Moderate
35.5,114.79,19.79,7.06,0.63,19.26,54.72,124,Moderate
34.12,98.4,19.29,6.98,0.59,17.83,49.82,106,Moderate
41.62,88.79,19.98,6.69,0.7,24.2,42.21,109,Moderate
43.1,95.91,20.32,4.91,0.53,21.47,43.36,92,Satisfactory
35.3,96.34,21.71,5.96,0.67,24.72,42.13,88,Satisfactory
40.35,89.42,17.33,4.32,0.47,17.09,44.47,95,Satisfactory
32.33,94.6,18.93,4.17,0.53,23.95,45.97,93,Satisfactory
24.95,78.4,19.42,4.01,0.61,21.27,34.54,104,Moderate
30.42,74.2,20.68,3.36,0.49,16.73,19.84,80,Satisfactory
36.5,76.95,16.96,3.25,0.72,13.67,30.35,99,Satisfactory
40.04,84.57,17.83,3.8,0.63,14.71,37.15,99,Satisfactory
40.51,98.75,17.31,4.07,0.89,18.61,48.85,108,Moderate
38.88,99.45,16.93,3.35,0.51,14.62,54.63,99,Satisfactory
36.31,86.09,18,4.51,0.47,13.86,51.56,106,Moderate
38.7,77.21,18.03,4.47,0.52,17.79,42.23,85,Satisfactory
33.52,82.24,16.29,4.22,0.48,15.76,42.04,83,Satisfactory
36.8,79.78,26.44,3.85,0.57,19.96,45.17,83,Satisfactory
41.89,75.96,17.39,4.06,0.51,14.55,48.97,74,Satisfactory
41.47,99.66,22.98,4.84,0.77,17.7,39.43,103,Moderate
31.52,90.61,18.25,4.59,0.5,16.21,54.72,101,Moderate
39.73,73.42,20.17,4,0.45,18.1,43.53,80,Satisfactory
36.24,104.78,27.54,3.61,0.95,17.17,42.88,107,Moderate
24.16,84.55,19.93,4.56,0.46,21.35,54.64,91,Satisfactory
23.12,59.22,26.79,12.18,0.53,26.62,41.27,78,Satisfactory
44.75,57.48,24.2,5.86,0.52,23.46,56.71,65,Satisfactory
50.25,80,48.87,16.22,0,4.43,13.75,232,Poor
54,125.25,30.93,18,0,4.78,42.12,221,Poor
59.25,76,27,17.5,0,4.5,49.52,209,Poor
67,83.25,21.95,17.6,0,4.85,56.85,198,Moderate
68.75,98,21.32,19,0,5.68,66.65,191,Moderate
65,112.25,14.38,20.17,0.05,6.37,93.08,186,Moderate
95.75,128.5,97.62,23.25,0.1,82.23,132.78,179,Moderate
92.5,147.25,29.62,26.85,0.08,52.5,169.55,204,Poor
85.25,150.75,23.95,21.43,0.1,30.78,165.15,204,Poor
90.75,142.25,25.97,20.8,0.1,43.15,157.3,204,Poor
103,155.25,23.17,21.85,0.1,18.3,143.08,204,Poor
95,177.75,22.38,21.53,0.1,14.85,116.1,204,Poor
89,159,23.6,20.2,0.08,8.92,90.18,204,Poor
87.25,150.25,28.27,19.3,0.05,5.28,64.68,204,Poor
83.5,148.5,29.92,19.83,0.1,3.23,47.05,204,Poor
88.5,139,27.03,20.2,0.1,2.92,45.55,196,Moderate
90,131.5,28.18,20.52,0.1,3.13,44.1,184,Moderate
78.5,127,25.78,20.83,0.05,2.32,42.62,163,Moderate
87.25,123,31.5,20.47,0.05,3.33,33.3,159,Moderate
91.5,137.75,38.93,19.55,0.05,3.7,27.45,160,Moderate
92.25,159.25,41.07,21.33,0,3.9,17.65,161,Moderate
90.75,142.25,40.65,20.67,0,3.65,15.68,163,Moderate
93.25,133.5,30.4,22.15,0,3.62,26.95,168,Moderate
92.75,131,37.05,20.88,0,3.75,25.03,175,Moderate
85.75,131.25,34.57,20.97,0,3.55,21.55,181,Moderate
83,130.75,37.9,19.75,0,3.73,21.05,185,Moderate
99.25,107.75,41.17,21.5,0,4.52,30.88,188,Moderate
94.25,128.75,19.78,21.43,0,5.02,67.62,193,Moderate
112.5,131,22.55,25.32,0,5.47,82.35,196,Moderate
86.25,127.5,88.7,18.65,0.1,7.22,110.72,204,Poor
81.25,129.5,14.7,22.4,0.1,6.18,117.1,202,Poor
84.75,123.25,14.17,22.77,0.1,5,125.43,201,Poor
91.5,131,15.95,23.67,0.1,5.1,133.27,201,Poor
85,139.5,14.62,23.78,0.1,6.23,128.9,201,Poor
79.5,126.75,14.22,22.35,0.1,6.45,109.27,198,Moderate
82.5,124.75,21.45,20.6,0.1,6.3,75.47,196,Moderate
82,137.5,24.15,20.25,0.1,6.2,60.77,195,Moderate
67,126.25,17.6,19.62,0.1,5.52,49.5,195,Moderate
71.25,106,16.68,19.88,0.1,5.5,44.1,192,Moderate
75,114.5,23.05,20.35,0.05,4.73,35.75,190,Moderate
81,122,20,21.07,0.05,4.23,35.78,188,Moderate
83.75,114.25,23.9,22.52,0.05,4.6,31.87,188,Moderate
83.5,118.75,25,27.05,0.05,4.97,29.4,188,Moderate
82.75,112,18.85,23.48,0.08,5.68,28.43,187,Moderate
76,112,17.4,20.7,0.08,5.3,31.88,185,Moderate
75.5,115.25,16.22,19.6,0,6.02,48.5,183,Moderate
76.5,125.25,19.02,19.43,0,6.35,41.17,181,Moderate
87,124.75,15.15,20.1,0,4.72,49,178,Moderate
93.75,124,28.8,22.58,0,6.15,30.87,179,Moderate
83.75,130,20.15,23.52,0,7.2,52.9,180,Moderate
76.75,115.75,10.42,21.6,0,9.3,89.2,178,Moderate
46,103.5,10.6,21.7,0.08,9.1,101.43,176,Moderate
41.75,83.5,16.15,21.45,0.1,9.38,94.57,130,Moderate
47,83.5,19.35,20.68,0.1,9.65,95.05,129,Moderate
50.25,87.5,21.75,20.05,0.1,8.23,81.35,127,Moderate
62,99.5,40.77,18.3,0.1,7.6,54.88,126,Moderate
65.75,151,58.55,18.25,0.08,8.1,37.72,126,Moderate
58.25,170.75,45.27,19.18,0.03,7.5,35.77,126,Moderate
60,123.25,37.73,18.78,0.03,7.25,29.4,123,Moderate
64.25,107.5,38.25,19.22,0.03,6.55,24.02,121,Moderate
67,117.75,51.38,19.4,0,6.5,20.08,119,Moderate
72.75,124.5,49.25,20.15,0.03,6.43,19.12,117,Moderate
69.5,116.75,44.4,21.1,0,6,21.07,116,Moderate
63.25,107.75,51,20.45,0,6.75,17.62,114,Moderate
65.75,110.25,59.5,21.92,0.05,6.8,8.33,111,Moderate
63.25,112.75,69.85,19.07,0.1,6.2,3.9,109,Moderate
67.25,117.75,56.92,20.48,0.05,5.33,3.9,108,Moderate
73.25,114.75,75.78,19.03,0.08,4.65,4.4,108,Moderate
87.5,115.5,68.83,23.55,0.03,6.75,11.25,107,Moderate
78.25,134.5,34.37,24.58,0,7.7,32.32,107,Moderate
65.75,119.25,23.03,23.15,0,11.45,67.6,107,Moderate
57.5,108.75,26.35,22.28,0.05,10.88,90.17,107,Moderate
55.25,96.75,91,24.15,0.1,11.15,99.98,108,Moderate
60.25,92.25,18.2,23.78,0.1,11.08,105.35,109,Moderate
53.5,97.75,17.4,23.72,0.1,10.92,105.33,110,Moderate
50.75,93,26.27,26.37,0.1,17.08,103.9,111,Moderate
55.5,91.5,24.8,25.35,0.13,10.58,101.93,112,Moderate
54.25,99,29.25,17.38,0.1,9.7,87.2,113,Moderate
57.25,111.5,37.35,17.55,0.1,9.1,62.72,114,Moderate
63.75,127.75,40.5,18.2,0.1,9.8,51.45,113,Moderate
66.75,137,43.1,17.27,0.1,9.75,41.65,113,Moderate
79,136.25,75.95,18.6,0.03,9.55,19.1,114,Moderate
82,189.5,57.07,19.72,0,8.88,28.92,117,Moderate
92.75,140,129.67,21.9,0.05,10.65,10.78,119,Moderate
87.75,190.75,84.52,21.73,0.03,7.68,10.28,123,Moderate
91.5,162.75,85.83,23.15,0,7.35,11.28,125,Moderate
85,160.25,89.98,22.73,0.03,7.03,5.9,128,Moderate
79,145.25,95.12,20.75,0,6.88,8.33,131,Moderate
76.25,116,65.55,19.65,0,6.25,5.4,133,Moderate
85.75,130,106.1,22.83,0,6.07,5.4,134,Moderate
84.25,145.25,73.3,21.62,0,5.48,4.9,137,Moderate
83,156,43.42,25.4,0,5.45,20.58,139,Moderate
79.5,133.25,27.12,24.77,0,7.85,43.1,138,Moderate
59.25,128.25,14.92,24.6,0,11.45,74.48,138,Moderate
55,98.75,14.17,22.7,0.03,10.37,86.75,137,Moderate
50.5,89.75,14.65,21.32,0.1,195,89.17,135,Moderate
56,92.25,94,32.2,0.6,10.62,98.48,134,Moderate
60,93,23.53,27,0.95,12.55,105.38,135,Moderate
65,96.25,27.22,23.65,0.52,43.93,107.3,134,Moderate
72.25,110.5,49.68,20.67,0.13,120.27,96.52,136,Moderate
76.5,125,47.78,20.43,0.08,117.1,100.45,139,Moderate
75,133,48.2,18.25,0.1,84.82,92.62,142,Moderate
66,147,25.2,16.5,0.1,11.62,76.95,145,Moderate
70.25,141.25,27.43,17.22,0.1,11.1,71.55,146,Moderate
87,135.5,47.72,17.93,0.1,11.78,52.45,147,Moderate
91.5,153.5,55.1,20.18,0.1,10.33,39.2,150,Moderate
93,164.75,66.4,17.98,0,9.83,30.37,152,Moderate
102.75,167,51.67,19.43,0,8.97,31.85,153,Moderate
108,175.5,95.4,21.05,0,8.67,10.28,154,Moderate
101.25,184.5,47.03,21.5,0,8.28,33.35,157,Moderate
99.25,167,63.4,20.12,0,8.15,21.05,159,Moderate
96.75,170.25,72.75,19.83,0,7.13,11.75,161,Moderate
88.75,182.5,45.15,19.75,0,6.35,22.08,163,Moderate
93,161.75,50.17,20.38,0,6.25,18.6,165,Moderate
100,161.75,44.47,20.12,0,7.42,17.65,166,Moderate
120,182,73.83,21.9,0,9.75,15.68,168,Moderate
88,193.25,34.53,21.55,0,10.08,44.58,173,Moderate
80.25,141,20.47,21.2,0,12.75,75.95,174,Moderate
66,121,12.2,21.03,0.03,11.72,88.67,177,Moderate
68.75,107.25,87.72,16.6,0.1,18.25,99.45,182,Moderate
67.75,106.75,14.8,21.45,0.1,12.35,105.85,184,Moderate
65.5,111.25,14.67,20.53,0.1,13.55,106.83,185,Moderate
58.25,107.5,13.9,19.6,0.1,13.38,107.33,185,Moderate
47,100.5,12.27,17.78,0.1,14.3,97.5,183,Moderate
46.5,95,14.5,16.2,0.1,16.6,88.7,179,Moderate
58,102.5,18.25,15.85,0.1,13.67,79.4,175,Moderate
72,127.5,26.9,16.9,0.1,12.8,67.12,174,Moderate
80,148,28.62,17.47,0.08,10.75,65.67,174,Moderate
84.75,136.5,28.05,17.43,0.1,11.35,67.6,173,Moderate
78.75,147.75,31.97,17.4,0.1,11.38,63.72,172,Moderate
72.5,148.5,31.1,17.32,0.05,10.4,65.65,170,Moderate
74,138.75,30.6,20.18,0.08,9.07,63.2,166,Moderate
87.25,123,35.77,18.88,0.08,7.25,56.85,161,Moderate
87,142.5,47.15,21.05,0.03,5.83,25.95,159,Moderate
100,150,54.58,23.62,0.03,5.53,13.23,157,Moderate
94.5,183.75,67.23,21.43,0,4.43,9.78,158,Moderate
94.75,191.5,89.55,17.8,0,4.57,7.83,159,Moderate
97,160.75,55,20.57,0,3.82,12.75,159,Moderate
112,186.75,82.4,19.5,0,4.87,10.78,158,Moderate
98.75,191.5,49.17,24.88,0.05,6.53,30.85,157,Moderate
86.25,147,24.62,20.1,0.03,9.6,73,159,Moderate
80.75,129.5,32,19.5,0.05,13.67,92.62,160,Moderate
56.5,104.25,98.55,16.7,0.1,19.17,101.93,160,Moderate
65.25,102.75,22.03,19.55,0.1,18.83,109.28,158,Moderate
59.25,113.75,24.05,19.2,0.1,17.45,107.8,158,Moderate
58,111.5,21.38,19.43,0.1,15.22,103.38,157,Moderate
60.75,106.5,19.52,18.1,0.05,14.82,99.98,157,Moderate
63.5,107.75,22.17,17.12,0.1,13.75,89.17,159,Moderate
71.25,128,46.35,14.92,0.08,12.08,59.77,161,Moderate
63.25,157.75,31.25,16.18,0.03,11.45,64.7,163,Moderate
68.5,136.5,39.72,15.53,0.1,9.9,50.95,162,Moderate
89,143.75,68.37,16.73,0.1,9.38,27.92,160,Moderate
105.25,191.25,76.7,18.88,0.05,9.77,25.45,161,Moderate
90.75,208,77.75,15.5,0,9.05,23.5,165,Moderate
91.5,213.25,50.2,18.82,0,8.18,30.87,167,Moderate
91.5,178.5,95.2,17.48,0,8.67,21.07,170,Moderate
84,195.5,56.65,18.1,0.03,7.98,23.02,170,Moderate
93.25,138.5,77.12,18.45,0,8.8,13.2,170,Moderate
98.25,149.25,66.58,21.4,0.03,7.65,19.6,169,Moderate
85.5,157.5,38.82,20.88,0.05,7.35,29.4,169,Moderate
89.5,127.75,58.25,20.45,0,7.23,20.58,168,Moderate
88.25,134.75,52.5,23.1,0.03,8.18,30.38,167,Moderate
87,140.75,35.97,21.2,0.05,10.48,47.55,164,Moderate
77.5,138.75,30.15,21.87,0,12.08,64.7,162,Moderate
65,122.25,23.8,21.62,0,14.88,84.27,161,Moderate
57,93.5,94.7,26.7,0.13,11.7,96.05,158,Moderate
57.5,92,20.08,27.47,0.1,10.85,101.43,159,Moderate
61.75,94,22.75,18.22,0.1,11.4,102.9,157,Moderate
61.75,103,23.1,18.47,0.1,12.77,106.8,158,Moderate
67.5,105.75,30.75,19.45,0.1,17.62,103.9,158,Moderate
70.75,119.5,27.75,19.4,0.1,15.07,96.05,159,Moderate
71,137.75,30.32,17.9,0.1,9.5,67.6,160,Moderate
76.25,163.75,22.27,18.2,0.1,8.9,70.57,160,Moderate
83.25,127.25,36.67,17.35,0.1,8.88,59.78,162,Moderate
83.75,130.25,36.7,19.95,0.1,8.5,50.47,164,Moderate
86,137,45.75,23.3,0.05,8.33,38.2,163,Moderate
94.5,149.5,65.5,24.53,0.05,8.45,27.95,161,Moderate
94.25,182.75,58.15,20.35,0.03,7,27.9,161,Moderate
94.75,168.5,64.52,19.9,0,5.95,23.52,162,Moderate
85,163.75,101.35,19.43,0,6.6,8.33,162,Moderate
86.5,162.25,73.67,21.1,0,6.3,7.38,162,Moderate
92.75,156.25,62.3,19.85,0.03,5.65,14.72,161,Moderate
96.25,148.75,64.3,19.6,0,6.38,7.85,160,Moderate
96.5,164.25,78.8,18.67,0.05,6.12,4.9,162,Moderate
109,179.5,104.4,20.35,0.03,6.75,7.35,163,Moderate
94.25,178,48.25,25.67,0,8.57,28.9,166,Moderate
82,146.5,41.78,23.12,0.05,11.27,53.9,167,Moderate
66.75,129.75,31.12,22.43,0.03,8.25,75.45,167,Moderate
58.25,115.5,14.17,20.6,0.05,6.15,88.2,168,Moderate
62,104.75,14.3,19.97,0.1,8.12,93.1,168,Moderate
62.75,112.25,18.12,23.78,0.1,7.15,97.02,168,Moderate
65,112,20.43,22.7,0.1,7,100.43,169,Moderate
68.5,118,22.15,23.18,0.1,10.25,108.27,170,Moderate
71.5,121.5,23.3,23.25,0.1,8.03,105.33,170,Moderate
66.75,130.25,20.22,22.2,0.1,7.25,96.5,171,Moderate
64,129.25,28.07,20.25,0.1,8.6,70.55,170,Moderate
57.75,130.75,19.63,18.75,0.1,7.22,53.43,170,Moderate
57.5,96.5,23.1,18,0.1,5.52,48.02,167,Moderate
59,96,24,19.35,0.1,5.08,40.65,163,Moderate
69,99,57.4,19.65,0.1,5.73,26.95,160,Moderate
68,124,76.38,18.75,0.1,7.07,15.7,158,Moderate
76,130.75,125.72,20.85,0,6.68,4.9,154,Moderate
72,158.5,76.83,20.85,0,4.37,9.8,151,Moderate
69.5,124.25,65.63,18.85,0,3.48,5.4,148,Moderate
70,115,78.7,21.27,0,3.62,3.93,146,Moderate
67.5,116.5,58.13,22.85,0,2.38,8.33,144,Moderate
71,132.5,55.07,19.85,0,3.3,10.3,140,Moderate
79,139.25,45.35,19.15,0,3.82,11.8,137,Moderate
84.5,138,50.6,22.55,0.03,4.5,12.25,134,Moderate
81.25,140.5,33.53,24.05,0.05,4.62,23.03,131,Moderate
73.5,135.5,27.45,22.8,0.03,5.35,41.15,129,Moderate
68,123.5,21.28,26.03,0.05,7.22,67.12,128,Moderate
74,127,37.55,22.35,0.05,94.98,67.12,128,Moderate
72,149,113.12,25.1,0.05,160.77,77.4,130,Moderate
64,138.25,50.55,31.77,0.1,150.25,85.25,132,Moderate
58,123.75,33.85,29.57,0.1,76.5,94.1,132,Moderate
63.25,123,28.43,25.4,0.1,42.02,97.02,131,Moderate
75.75,127.5,28.22,20.38,0.1,27.9,94.57,130,Moderate
91.75,144.75,89.02,15.8,0.05,53.43,65.17,131,Moderate
93.5,200,60.25,18,0.1,27.28,63.67,134,Moderate
111.5,224.5,67.3,20.22,0.1,18.6,50.48,138,Moderate
114.5,234.25,98.4,21.38,0.23,18.65,27.45,146,Moderate
103.5,276.75,71.55,38.38,0.1,11.62,18.13,154,Moderate
84,290.5,45.2,36.58,0,5.93,24.5,160,Moderate
83.5,172,64.5,28.07,0.05,5.3,19.62,162,Moderate
